name,location,cuisine,rating,contact_phone,contact_email
Pasta Paradise,Rome,Italian,4.5,123-456-7890,info@pastaparadise.com
Curry King,Mumbai,Indian,4.7,098-765-4321,contact@curryking.com
Sushi Suite,Tokyo,Japanese,4.9,234-567-8901,reservations@sushisuite.com
Taco Territory,Mexico City,Mexican,4.4,345-678-9012,info@tacoterritory.mx
Yummy,Shanghai,Chinese,3.8,111-456-7390,info@yummy.cn
Lohas,Fujian,Milk tea,4.8,321-456-7391,lohas@outlook.com
Starbucks,New York,Coffee,3.3,212-342-5647,starbucks@starbucks.com
Olive,Boston,Indian,4.2,938-191-9384,info@olive.us
KFC,London,Fast food,4.4,234-567-5432,info@kfc.vivo
McDonald`s,Amsterdam,Fast food,4.8,999-999-9999,info@mc.com
In-N-Out,California,Fast food,4.9,888-888-8888,info@in.out
